o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0003963;otic ganglion;Arnold's ganglion
http://purl.obolibrary.org/obo/UBERON_0004069;accessory olfactory bulb;olfactory bulb accessory nucleus
http://purl.obolibrary.org/obo/UBERON_0004069;accessory olfactory bulb;accessory olfactory formation
http://purl.obolibrary.org/obo/UBERON_0004069;accessory olfactory bulb;accessory (vomeronasal) bulb
http://purl.obolibrary.org/obo/UBERON_0004186;olfactory bulb mitral cell layer;olfactory bulb main mitral cell body layer
http://purl.obolibrary.org/obo/UBERON_0004186;olfactory bulb mitral cell layer;OB mitral cell layer
http://purl.obolibrary.org/obo/UBERON_0004186;olfactory bulb mitral cell layer;mitral cell layer of the olfactory bulb
http://purl.obolibrary.org/obo/UBERON_0004186;olfactory bulb mitral cell layer;mitral cell layer
http://purl.obolibrary.org/obo/UBERON_0004186;olfactory bulb mitral cell layer;mitral cell body layer
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;tunica fibrosa splenica
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;tunica fibrosa (splen)(lien)
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;splenic capsule
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;Malpighian capsule
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;fibrous capsule of spleen
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;fibroelastic coat of spleen
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;capsule of spleen
http://purl.obolibrary.org/obo/UBERON_0004641;spleen capsule;capsula splenica
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;spinal cord intermediate horn
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;lateral horn of spinal cord
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;lateral gray matter of spinal cord
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;lateral gray horn
